         373333 function calls (372713 primitive calls) in 2.489 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.009    0.001    0.009    0.001 {built-in method _posixsubprocess.fork_exec}
       13    0.008    0.001    0.008    0.001 {built-in method posix.read}
        1    0.000    0.000    0.008    0.008 linecache.py:6(<module>)
        1    0.000    0.000    0.008    0.008 decoder.py:2(<module>)
    86/20    0.003    0.000    0.008    0.000 sre_compile.py:64(_compile)
       10    0.003    0.000    0.007    0.001 enum.py:88(__new__)
       43    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
       29    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(_compile_bytecode)
        1    0.000    0.000    0.007    0.007 systemd_service_mon.py:262(parse_arg)
        1    0.000    0.000    0.007    0.007 tokenize.py:21(<module>)
       29    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.006    0.006 argparse.py:1605(__init__)
       59    0.004    0.000    0.006    0.000 {method 'readlines' of '_io._IOBase' objects}
      481    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        1    0.000    0.000    0.005    0.005 scanner.py:2(<module>)
      622    0.002    0.000    0.005    0.000 {method 'join' of 'str' objects}
       43    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       38    0.002    0.000    0.004    0.000 _pslinux.py:1108(_parse_stat_file)
      336    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      157    0.002    0.000    0.004    0.000 posixpath.py:71(join)
      113    0.001    0.000    0.004    0.000 enum.py:51(__setitem__)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
       20    0.002    0.000    0.003    0.000 systemd_service_mon.py:60(build_monjson)
       19    0.000    0.000    0.003    0.000 __init__.py:1077(memory_info)
       20    0.001    0.000    0.003    0.000 systemd_service_mon.py:480(get_pidf_path)
       19    0.001    0.000    0.003    0.000 _pslinux.py:1260(memory_info)
        1    0.000    0.000    0.003    0.003 _psposix.py:5(<module>)
       58    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:254(cache_from_source)
       53    0.002    0.000    0.003    0.000 functools.py:43(update_wrapper)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
      974    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      332    0.002    0.000    0.003    0.000 socket.py:81(<lambda>)
      331    0.002    0.000    0.003    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.003    0.003 encoder.py:2(<module>)
       38    0.000    0.000    0.003    0.000 {built-in method builtins.next}
       62    0.000    0.000    0.003    0.000 _pslinux.py:180(open_binary)
       20    0.001    0.000    0.003    0.000 sre_compile.py:412(_compile_info)
       82    0.002    0.000    0.003    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
       38    0.001    0.000    0.003    0.000 __init__.py:458(oneshot)
      877    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
       40    0.001    0.000    0.002    0.000 sre_compile.py:221(_compile_charset)
       54    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
1168/1118    0.002    0.000    0.002    0.000 {built-in method builtins.len}
      233    0.001    0.000    0.002    0.000 codecs.py:318(decode)
        3    0.000    0.000    0.002    0.001 argparse.py:1308(add_argument)
      107    0.001    0.000    0.002    0.000 genericpath.py:16(exists)
      312    0.001    0.000    0.002    0.000 sre_parse.py:157(__getitem__)
       63    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:406(cached)
        3    0.000    0.000    0.002    0.001 gettext.py:620(gettext)
        3    0.000    0.000    0.002    0.001 gettext.py:582(dgettext)
        3    0.000    0.000    0.002    0.001 gettext.py:516(translation)
        3    0.000    0.000    0.002    0.001 gettext.py:461(find)
        3    0.000    0.000    0.002    0.001 argparse.py:1227(__init__)
       22    0.000    0.000    0.002    0.000 _common.py:246(wrapper)
        1    0.000    0.000    0.002    0.002 lzma.py:9(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
      165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     1020    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
       34    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:350(_get_cached)
       29    0.000    0.000    0.002    0.000 _pslinux.py:1077(wrap_exceptions)
       43    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:163(__enter__)
       19    0.000    0.000    0.002    0.000 contextlib.py:63(__exit__)
      360    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      249    0.001    0.000    0.002    0.000 sre_parse.py:247(get)
       40    0.001    0.000    0.002    0.000 sre_compile.py:248(_optimize_charset)
       64    0.001    0.000    0.002    0.000 genericpath.py:39(isdir)
       11    0.000    0.000    0.002    0.000 abc.py:132(__new__)
       19    0.000    0.000    0.002    0.000 __init__.py:627(name)
        1    0.000    0.000    0.002    0.002 glob.py:1(<module>)
   142/76    0.001    0.000    0.002    0.000 sre_parse.py:167(getwidth)
        3    0.000    0.000    0.001    0.000 argparse.py:2353(_get_formatter)
      148    0.001    0.000    0.001    0.000 enum.py:301(__setattr__)
        3    0.000    0.000    0.001    0.000 argparse.py:160(__init__)
      198    0.001    0.000    0.001    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.001    0.001 _pslinux.py:254(set_scputimes_ntuple)
       38    0.001    0.000    0.001    0.000 _pslinux.py:1233(cpu_times)
       88    0.001    0.000    0.001    0.000 enum.py:8(_is_descriptor)
      143    0.001    0.000    0.001    0.000 _bootlocale.py:23(getpreferredencoding)
       29    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:824(get_data)
      736    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(__exit__)
       29    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:427(_validate_bytecode_header)
      198    0.001    0.000    0.001    0.000 __init__.py:422(<genexpr>)
      145    0.001    0.000    0.001    0.000 codecs.py:308(__init__)
       19    0.000    0.000    0.001    0.000 contextlib.py:57(__enter__)
       19    0.001    0.000    0.001    0.000 __init__.py:1108(memory_percent)
